"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",40.27,1397,2,17,1320,"Agency 2"
"CA","B2",64.96,2316,4,19,2044,"Agency 7"
"CA","B2",53.94,1939,4,26,1785,"Agency 7"
"CA","B2",31.49,1303,1,15,1224,"Agency 3"
"CA","B2",2.03,240,0,1,234,"Agency 3"
"CA","B2",50.27,2969,8,24,2766,"Agency 2"
"CA","B2",3.87,134,0,0,131,"Agency 7"
"CA","B2",63.96,3025,3,10,2818,"Agency 2"
"CA","B2",32.55,1299,0,3,1267,"Agency 3"
"CA","B2",88.15,4732,5,38,4497,"Agency 2"
"CA","B2",54.42,1981,3,19,1792,"Agency 2"
"CA","B2",1.98,206,0,0,199,"Agency 3"
"CA","B2",52.36,1590,3,8,1451,"Agency 7"
"CA","B2",77.08,3430,2,16,3075,"Agency 4"
"CA","B2",10.77,340,0,1,327,"Agency 3"
"CA","B2",63.34,2530,7,16,2385,"Agency 2"
"CA","B2",6.69,256,0,3,254,"Agency 3"
"CA","B2",2.03,170,0,1,161,"Agency 3"
"CA","B2",2.92,884,0,2,852,"Agency 3"
"CA","B2",31.53,1712,0,6,1501,"Agency 2"
"CA","B2",31.32,1376,5,14,1304,"Agency 5"
"CA","B2",32.97,1796,0,31,1690,"Agency 5"
"CA","B2",65.44,2593,3,12,2491,"Agency 2"
"CA","B2",2,296,0,0,290,"Agency 3"
"CA","B2",8.84,864,0,18,806,"Agency 7"
"CA","B2",35.88,2544,1,25,2373,"Agency 2"
"CA","B2",32.6,741,0,10,655,"Agency 2"
"CA","B2",58.93,2484,2,23,2304,"Agency 2"
"CA","B2",21.29,652,0,1,592,"Agency 3"
"CA","B2",33.06,987,2,10,920,"Agency 2"
"CA","B2",1.59,102,0,0,101,"Agency 3"
"CA","B2",70.66,3718,4,25,3390,"Agency 7"
"CA","B2",12.2,390,0,1,376,"Agency 3"
"CA","B2",13.14,632,0,3,616,"Agency 3"
"CA","B2",31.6,1211,3,11,1053,"Agency 7"
"CA","B2",5.68,256,0,3,251,"Agency 3"
"CA","B2",15.83,747,2,11,729,"Agency 3"
"CA","B2",82.31,4369,3,31,4064,"Agency 2"
"CA","B2",66.1,2715,5,20,2593,"Agency 2"
"CA","B2",59.24,2142,8,35,1822,"Agency 7"
"CA","B2",30.07,1954,1,11,1866,"Agency 3"
"CA","B2",36.96,2018,0,10,1892,"Agency 3"
"CA","B2",35.54,1319,2,18,1282,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 5"
"CA","B2",11.5,414,0,1,398,"Agency 3"
"CA","B2",58.24,2141,2,11,1918,"Agency 7"
"CA","B2",46,1530,1,19,1315,"Agency 5"
"CA","B2",63.31,3015,1,17,2832,"Agency 2"
"CA","B2",32.57,1519,1,16,1438,"Agency 2"
"CA","B2",24.01,763,1,6,708,"Agency 2"
"CA","B2",8.49,310,1,2,306,"Agency 3"
"CA","B2",15.87,679,0,3,644,"Agency 4"
"CA","B2",37.58,2402,0,16,2311,"Agency 3"
"CA","B2",29.65,1290,0,3,1269,"Agency 3"
"CA","B2",37.14,1687,3,20,1537,"Agency 2"
"CA","B2",31.8,1340,0,8,1264,"Agency 2"
"CA","B2",7.8,404,0,0,364,"Agency 2"
"CA","B2",58.97,2372,4,20,2138,"Agency 7"
"CA","B2",55.66,1849,2,15,1674,"Agency 7"
"CA","B2",1.99,117,0,0,111,"Agency 3"
"CA","B2",11.35,425,0,12,401,"Agency 3"
"CA","B2",18.67,834,2,9,816,"Agency 3"
"CA","B2",2,342,0,1,335,"Agency 3"
"CA","B2",29.81,1390,4,14,1360,"Agency 3"
"CA","B2",30.38,1584,0,3,1497,"Agency 2"
"CA","B2",64.96,2829,3,15,2710,"Agency 2"
"CA","B2",15.75,605,1,4,582,"Agency 2"
"CA","B2",51.64,1640,7,20,1469,"Agency 7"
"CA","B2",36.65,2961,0,20,2884,"Agency 3"
"CA","B2",32.32,1868,3,18,1744,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",54.03,2267,3,18,1998,"Agency 7"
"CA","B2",32.04,1394,0,9,1258,"Agency 2"
"CA","B2",22.05,588,1,3,530,"Agency 3"
"CA","B2",73.4,3690,5,32,3470,"Agency 2"
"CA","B2",1.97,167,0,0,164,"Agency 3"
"CA","B2",7.84,414,0,3,401,"Agency 3"
"CA","B2",58.81,2293,2,18,2114,"Agency 7"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",33.94,941,0,7,882,"Agency 3"
"CA","B2",10.68,502,1,5,493,"Agency 3"
"CA","B2",32.69,1396,1,10,1379,"Agency 5"
"CA","B2",32.18,1894,1,9,1828,"Agency 3"
"CA","B2",16.8,387,1,2,363,"Agency 2"
"CA","B2",17.97,565,0,5,491,"Agency 2"
"CA","B2",3.19,898,0,1,811,"Agency 3"
"CA","B2",65.96,3538,5,30,3340,"Agency 2"
"CA","B2",4.96,303,2,6,294,"Agency 7"
"CA","B2",48.71,2497,0,16,2334,"Agency 2"
"CA","B2",11.21,421,1,4,406,"Agency 3"
"CA","B2",31.1,1205,3,9,1138,"Agency 3"
"CA","B2",62.89,4321,4,27,4146,"Agency 2"
"CA","B2",16.19,565,5,12,541,"Agency 2"
"CA","B2",97.16,3462,0,15,3316,"Agency 2"
"CA","B2",31.78,1941,2,5,1849,"Agency 2"
"CA","B2",2.01,271,0,0,267,"Agency 3"
"CA","B2",2.85,183,0,4,181,"Agency 3"
