"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"IL","B3",47.33,1780,0,7,1689,"Agency 2"
"NY","B3",63.65,1857,1,10,1737,"Agency 2"
"OK","B3",32.53,1718,0,7,1527,"Agency 2"
"TN","B3",0,0,0,0,0,"Agency 4"
"FL","B3",56.99,3251,9,42,3148,"Agency 8"
"SC","B3",32.31,1725,1,14,1645,"Agency 2"
"CO","B3",4.69,157,0,0,156,"Agency 3"
"DC","B3",33.91,1532,0,15,1458,"Agency 8"
"TX","B3",0,0,0,0,0,"Agency 3"
"TX","B3",24.21,1144,2,15,1104,"Agency 8"
"MD","B3",32.59,2102,4,26,2039,"Agency 8"
"CA","B3",70.44,3191,2,13,3051,"Agency 3"
"CA","B3",101.13,3745,4,28,3513,"Agency 2"
"CA","B3",0,0,0,0,0,"Agency 3"
"TX","B3",15.2,708,1,1,663,"Agency 4"
"MD","B3",34.09,3170,0,14,2909,"Agency 8"
"MO","B3",64.82,3596,10,69,3352,"Agency 8"
"CA","B3",31.4,1764,4,30,1641,"Agency 2"
"CT","B3",48.71,3467,3,17,3344,"Agency 3"
"WA","B3",0,0,0,0,0,"Agency 3"
"MD","B3",31.82,2278,0,10,2174,"Agency 8"
"TX","B3",0,0,0,0,0,"Agency 4"
"FL","B3",17.76,834,0,4,758,"Agency 3"
"VA","B3",28.94,1724,2,6,1679,"Agency 8"
"NY","B3",40.17,1449,3,14,1362,"Agency 3"
"TX","B3",39.94,1355,0,14,1321,"Agency 2"
"TN","B3",45.85,2202,0,10,2070,"Agency 3"
"MD","B3",32.28,1853,1,32,1761,"Agency 8"
"CA","B3",32.07,1733,5,27,1690,"Agency 8"
"NJ","B3",39.25,1723,3,9,1656,"Agency 2"
"CA","B3",19.67,1475,2,12,1438,"Agency 3"
"CA","B3",52.67,1544,0,28,1366,"Agency 3"
"MI","B3",0,0,0,0,0,"Agency 3"
"VA","B3",32.76,1577,1,18,1532,"Agency 8"
"CA","B3",23.16,1186,0,9,1157,"Agency 3"
"OK","B3",30.51,1289,1,7,1188,"Agency 2"
"CA","B3",1.99,155,0,0,150,"Agency 3"
"SC","B3",15.98,1084,1,5,1030,"Agency 2"
"MI","B3",19.62,780,1,6,741,"Agency 4"
"CA","B3",40.95,2263,1,16,2107,"Agency 2"
"NY","B3",39.64,1900,2,19,1875,"Agency 2"
"MN","B3",34.31,1297,3,10,1222,"Agency 3"
"GA","B3",39.02,1023,2,15,1002,"Agency 3"
"GA","B3",7.36,334,0,1,327,"Agency 4"
"VA","B3",24.48,953,1,6,913,"Agency 3"
"OK","B3",32.43,1553,3,18,1426,"Agency 2"
"CA","B3",27.66,968,2,7,904,"Agency 3"
"CO","B3",36.65,1267,0,8,1176,"Agency 3"
"DC","B3",29.54,1625,1,7,1597,"Agency 8"
"NJ","B3",37.52,1516,1,3,1413,"Agency 2"
"MN","B3",0,0,0,0,0,"Agency 3"
"MO","B3",54.89,2337,4,31,2253,"Agency 8"
"VA","B3",23.38,1018,2,13,978,"Agency 3"
"CA","B3",67.87,3166,3,17,3116,"Agency 8"
"IL","B3",17.79,828,1,5,702,"Agency 2"
"MN","B3",11.52,332,0,1,311,"Agency 3"
"DC","B3",30.91,1227,0,11,1199,"Agency 8"
"CA","B3",60.99,3343,1,16,3185,"Agency 3"
"CO","B3",47.58,1523,2,14,1380,"Agency 3"
"CA","B3",0,0,0,0,0,"Agency 3"
"VA","B3",32.03,2603,2,11,2439,"Agency 3"
"CA","B3",7.28,430,0,1,402,"Agency 3"
"TX","B3",30.54,918,2,17,851,"Agency 3"
"CA","B3",25.07,1065,0,1,943,"Agency 3"
"VA","B3",32.49,1638,0,6,1612,"Agency 8"
"CO","B3",32.96,1693,0,11,1550,"Agency 3"
"VA","B3",27.8,1291,1,12,1179,"Agency 3"
"TX","B3",9.83,272,0,1,260,"Agency 8"
"VA","B3",33.18,1608,2,12,1449,"Agency 3"
"TX","B3",37.16,2666,1,12,2568,"Agency 3"
"TX","B3",32.69,1933,1,12,1871,"Agency 3"
"GA","B3",20.63,843,3,4,815,"Agency 4"
"VA","B3",26.08,862,1,6,799,"Agency 3"
"CO","B3",26.09,869,0,4,850,"Agency 3"
"VA","B3",44.16,2232,1,9,2108,"Agency 8"
"VA","B3",0,0,0,0,0,"Agency 3"
"NJ","B3",18.3,644,0,0,601,"Agency 2"
"NY","B3",65.51,2061,1,7,1927,"Agency 2"
"DC","B3",32.16,1538,2,8,1488,"Agency 8"
"CA","B3",48.71,2400,1,21,2152,"Agency 2"
"CA","B3",33.23,1765,1,19,1689,"Agency 3"
"NJ","B3",18.09,748,1,11,733,"Agency 3"
"FL","B3",15.84,920,8,17,825,"Agency 3"
"TX","B3",35.78,1341,2,14,1206,"Agency 3"
"GA","B3",30.98,1620,4,11,1591,"Agency 8"
"TX","B3",49.9,2625,2,16,2521,"Agency 3"
"VA","B3",32.05,1097,1,8,1005,"Agency 3"
"MD","B3",41.56,2226,4,35,2068,"Agency 8"
"IL","B3",48.43,2131,2,11,2041,"Agency 2"
"CA","B3",7.29,477,0,1,448,"Agency 3"
"CA","B3",18.52,705,2,14,672,"Agency 2"
"NJ","B3",18.73,520,0,3,473,"Agency 2"
"TX","B3",27.56,1196,2,13,1092,"Agency 3"
"CO","B3",4.48,274,0,0,259,"Agency 3"
"FL","B3",31,1405,0,8,1370,"Agency 3"
"FL","B3",51.04,2604,2,19,2563,"Agency 8"
"TX","B3",20.33,842,2,5,819,"Agency 2"
"CA","B3",19.94,753,0,2,714,"Agency 3"
"CA","B3",34.64,1546,4,8,1404,"Agency 3"
"IL","B3",18.19,713,0,5,612,"Agency 2"
"TX","B3",0,0,0,0,0,"Agency 4"
"VA","B3",25.47,1311,1,9,1257,"Agency 3"
"IL","B3",49.34,1497,1,8,1422,"Agency 2"
"CA","B3",49.41,2278,3,17,2158,"Agency 2"
"CA","B3",39.13,1393,3,12,1352,"Agency 4"
"CA","B3",23.24,990,0,10,967,"Agency 3"
"CA","B3",28.82,1492,3,14,1457,"Agency 3"
"TX","B3",39.44,1475,3,5,1414,"Agency 8"
"TX","B3",32.86,1640,2,12,1437,"Agency 3"
"FL","B3",17.45,810,0,6,744,"Agency 3"
"OK","B3",31.49,1908,2,9,1745,"Agency 2"
"TX","B3",25.86,929,0,5,881,"Agency 2"
"CA","B3",23.2,945,1,19,886,"Agency 2"
"CA","B3",39.36,1538,2,12,1497,"Agency 3"
"IL","B3",152.9,6986,4,39,6390,"Agency 2"
"MI","B3",13.42,509,1,5,444,"Agency 4"
"MO","B3",57.91,4082,3,77,3924,"Agency 8"
"WA","B3",32.77,1468,1,7,1373,"Agency 3"
"CA","B3",31.56,1519,1,6,1464,"Agency 3"
"CT","B3",47.74,2600,5,19,2423,"Agency 3"
"VA","B3",33.42,2516,6,13,2449,"Agency 3"
"CA","B3",38.06,1028,3,17,987,"Agency 3"
"GA","B3",32.95,997,0,6,978,"Agency 4"
"FL","B3",50.92,2221,2,25,2105,"Agency 3"
"CA","B3",0,0,0,0,0,"Agency 3"
"CA","B3",80.73,2068,3,29,1854,"Agency 2"
"CA","B3",18.28,923,0,9,907,"Agency 2"
"MI","B3",15.27,717,0,2,679,"Agency 3"
"TN","B3",32.29,2346,3,7,2229,"Agency 4"
"CA","B3",33.31,1438,1,21,1412,"Agency 3"
"CA","B3",31.39,1746,0,7,1682,"Agency 3"
"NY","B3",31.98,1566,2,8,1497,"Agency 2"
"VA","B3",23.39,1150,1,5,1125,"Agency 3"
"OH","B3",23.71,1299,1,6,1221,"Agency 2"
"TX","B3",41.72,1598,1,14,1534,"Agency 8"
"CA","B3",16.05,804,2,4,780,"Agency 3"
"CT","B3",21.57,1151,2,9,1062,"Agency 3"
"CO","B3",32.69,1119,3,11,981,"Agency 2"
"MN","B3",8.68,416,0,7,402,"Agency 3"
"CA","B3",22.25,1211,0,9,1181,"Agency 3"
"CA","B3",23.44,703,0,3,648,"Agency 2"
"CA","B3",16.66,841,2,6,825,"Agency 3"
"CT","B3",0,0,0,0,0,"Agency 3"
"MO","B3",60.9,3278,3,106,3057,"Agency 8"
"SC","B3",16.26,661,0,1,628,"Agency 2"
"MO","B3",54.41,3269,2,34,3103,"Agency 8"
"VA","B3",33.49,1711,2,15,1672,"Agency 8"
"VA","B3",85.25,3904,0,20,3772,"Agency 3"
"IL","B3",47.78,1869,3,13,1768,"Agency 2"
"FL","B3",31.21,1287,0,2,1175,"Agency 3"
"CA","B3",15.42,647,1,10,635,"Agency 2"
"NY","B3",31.84,1290,0,5,1232,"Agency 2"
"TX","B3",12.34,414,2,4,389,"Agency 4"
"CO","B3",31.72,1298,2,9,1258,"Agency 2"
"WA","B3",32.59,887,0,7,856,"Agency 3"
"TX","B3",51.14,2323,2,23,2171,"Agency 2"
"MN","B3",0,0,0,0,0,"Agency 3"
"MO","B3",53,3619,4,58,3417,"Agency 8"
"CT","B3",29.28,704,0,6,605,"Agency 6"
"NC","B3",50.94,3840,9,56,3680,"Agency 8"
"MN","B3",0,0,0,0,0,"Agency 3"
"CA","B3",32.66,1919,1,8,1863,"Agency 3"
"TX","B3",32.53,1500,3,20,1467,"Agency 3"
"FL","B3",18.64,1132,1,62,1094,"Agency 8"
"NJ","B3",16.12,1310,1,7,1256,"Agency 4"
"MA","B3",23.74,1427,2,10,1373,"Agency 3"
"CA","B3",10.2,465,0,5,450,"Agency 3"
"CA","B3",41.5,1681,1,18,1618,"Agency 3"
