,state,brand,spend,Impressions,leads,link_clicks,reach,agency,Agency Tiers
0,CA,B2,40.27,1397,1,17,1320,Agency 2,4
1,CA,B2,50.27,2969,1,24,2766,Agency 2,4
2,CA,B2,63.96,3025,1,10,2818,Agency 2,4
3,CA,B2,88.15,4732,1,38,4497,Agency 2,4
4,CA,B2,54.42,1981,1,19,1792,Agency 2,4
5,CA,B2,63.34,2530,1,16,2385,Agency 2,4
6,CA,B2,31.53,1712,0,6,1501,Agency 2,4
7,CA,B2,65.44,2593,1,12,2491,Agency 2,4
8,CA,B2,35.88,2544,1,25,2373,Agency 2,4
9,CA,B2,32.6,741,0,10,655,Agency 2,4
10,CA,B2,58.93,2484,1,23,2304,Agency 2,4
11,CA,B2,33.06,987,1,10,920,Agency 2,4
12,CA,B2,82.31,4369,1,31,4064,Agency 2,4
13,CA,B2,66.1,2715,1,20,2593,Agency 2,4
14,CA,B2,63.31,3015,1,17,2832,Agency 2,4
15,CA,B2,32.57,1519,1,16,1438,Agency 2,4
16,CA,B2,24.01,763,1,6,708,Agency 2,4
17,CA,B2,37.14,1687,1,20,1537,Agency 2,4
18,CA,B2,31.8,1340,0,8,1264,Agency 2,4
19,CA,B2,7.8,404,0,0,364,Agency 2,4
20,CA,B2,30.38,1584,0,3,1497,Agency 2,4
21,CA,B2,64.96,2829,1,15,2710,Agency 2,4
22,CA,B2,15.75,605,1,4,582,Agency 2,4
23,CA,B2,32.32,1868,1,18,1744,Agency 2,4
24,CA,B2,32.04,1394,0,9,1258,Agency 2,4
25,CA,B2,73.4,3690,1,32,3470,Agency 2,4
26,CA,B2,16.8,387,1,2,363,Agency 2,4
27,CA,B2,17.97,565,0,5,491,Agency 2,4
28,CA,B2,65.96,3538,1,30,3340,Agency 2,4
29,CA,B2,48.71,2497,0,16,2334,Agency 2,4
30,CA,B2,62.89,4321,1,27,4146,Agency 2,4
31,CA,B2,16.19,565,1,12,541,Agency 2,4
32,CA,B2,97.16,3462,0,15,3316,Agency 2,4
33,CA,B2,31.78,1941,1,5,1849,Agency 2,4
34,CA,B2,66.7,1747,0,10,1586,Agency 2,4
35,CA,B2,37.39,1536,1,16,1394,Agency 2,4
36,CA,B2,40.45,1651,1,17,1488,Agency 2,4
37,CA,B2,32.15,1112,0,4,1039,Agency 2,4
38,CA,B2,59.85,2639,1,38,2446,Agency 2,4
39,CA,B2,65.64,2539,1,17,2301,Agency 2,4
40,CA,B2,63.98,2488,1,13,2303,Agency 2,4
41,CA,B2,118.03,4355,1,31,3913,Agency 2,4
42,CA,B2,65.03,2934,1,19,2795,Agency 2,4
43,CA,B2,31.74,1544,1,6,1427,Agency 2,4
