"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",40.27,1397,2,17,1320,"Agency 2"
"CO","B2",11.05,566,0,2,532,"Agency 3"
"TX","B2",16.67,877,0,7,816,"Agency 2"
"TN","B2",1.91,85,0,0,83,"Agency 3"
"IL","B2",48.36,1533,2,8,1267,"Agency 5"
"CA","B2",64.96,2316,4,19,2044,"Agency 7"
"UT","B2",33.96,1455,0,8,1361,"Agency 2"
"CA","B2",53.94,1939,4,26,1785,"Agency 7"
"IL","B2",81.55,2239,1,12,1901,"Agency 5"
"CA","B2",31.49,1303,1,15,1224,"Agency 3"
"CA","B2",2.03,240,0,1,234,"Agency 3"
"IL","B2",48.39,1797,1,14,1618,"Agency 5"
"TX","B2",32.97,1554,1,4,1446,"Agency 2"
"IL","B2",50.15,1921,2,65,1641,"Agency 5"
"VA","B2",32,1326,0,4,1242,"Agency 2"
"CA","B2",50.27,2969,8,24,2766,"Agency 2"
"CA","B2",3.87,134,0,0,131,"Agency 7"
"TX","B2",33.49,1283,2,14,1195,"Agency 3"
"OK","B2",51,1822,1,15,1562,"Agency 2"
"CA","B2",63.96,3025,3,10,2818,"Agency 2"
"CA","B2",32.55,1299,0,3,1267,"Agency 3"
"TX","B2",30.9,1359,3,25,1161,"Agency 2"
"TX","B2",29.77,903,1,6,857,"Agency 3"
"CA","B2",88.15,4732,5,38,4497,"Agency 2"
"CA","B2",54.42,1981,3,19,1792,"Agency 2"
"MI","B2",40.96,1817,2,17,1598,"Agency 2"
"TX","B2",16.09,949,2,18,898,"Agency 2"
"TX","B2",31.51,1402,1,10,1306,"Agency 2"
"IN","B2",33.08,1277,3,7,1169,"Agency 2"
"OR","B2",50.17,2861,2,16,2607,"Agency 5"
"OR","B2",32.32,1175,1,5,1131,"Agency 5"
"WA","B2",50.15,1942,2,13,1819,"Agency 2"
"FL","B2",0,0,0,0,0,"Agency 3"
"UT","B2",17.87,853,0,3,804,"Agency 4"
"GA","B2",31.91,1122,0,4,1079,"Agency 9"
"IA","B2",0,0,0,0,0,"Agency 3"
"GA","B2",33.87,1799,3,12,1650,"Agency 9"
"CA","B2",1.98,206,0,0,199,"Agency 3"
"CA","B2",52.36,1590,3,8,1451,"Agency 7"
"IA","B2",43.51,2181,2,11,2011,"Agency 3"
"GA","B2",33.2,1154,0,6,1031,"Agency 9"
"FL","B2",63.86,2709,3,19,2510,"Agency 2"
"TX","B2",52,1529,0,11,1404,"Agency 3"
"IA","B2",26.24,1609,9,14,1295,"Agency 3"
"TX","B2",8.58,538,0,1,487,"Agency 3"
"IN","B2",32.31,1003,2,10,945,"Agency 2"
"CO","B2",46.55,1801,2,15,1739,"Agency 3"
"OK","B2",32.13,1962,0,8,1814,"Agency 2"
"GA","B2",49.01,1835,1,52,1599,"Agency 2"
"VA","B2",41.03,1354,1,11,1223,"Agency 2"
"NJ","B2",49.8,1672,3,17,1563,"Agency 2"
"MO","B2",38.09,1750,2,6,1570,"Agency 3"
"UT","B2",33.23,1818,2,12,1771,"Agency 4"
