,spend,Impressions,leads,link_clicks,reach,Agency Tiers
0,40.27,1397,1,17,1320,
1,16.67,877,0,7,816,
2,33.96,1455,0,8,1361,
3,32.97,1554,1,4,1446,
4,32.0,1326,0,4,1242,
5,50.27,2969,1,24,2766,
6,51.0,1822,1,15,1562,
7,63.96,3025,1,10,2818,
8,30.9,1359,1,25,1161,
9,88.15,4732,1,38,4497,
10,54.42,1981,1,19,1792,
11,40.96,1817,1,17,1598,
12,16.09,949,1,18,898,
13,31.51,1402,1,10,1306,
14,33.08,1277,1,7,1169,
15,50.15,1942,1,13,1819,
16,63.86,2709,1,19,2510,
17,32.31,1003,1,10,945,
18,32.13,1962,0,8,1814,
19,49.01,1835,1,52,1599,
20,41.03,1354,1,11,1223,
21,49.8,1672,1,17,1563,
22,31.52,1082,0,9,989,
23,61.55,3337,1,12,3174,
24,37.46,2124,1,11,1908,
25,63.34,2530,1,16,2385,
26,48.64,2439,1,19,2123,
27,43.4,1858,1,10,1728,
28,15.98,862,0,6,807,
29,42.48,1306,0,9,1147,
30,31.45,1763,1,8,1660,
31,31.53,1712,0,6,1501,
32,49.69,2329,0,14,2057,
33,32.07,1088,0,8,1003,
34,18.35,933,0,8,889,
35,48.77,1757,1,11,1636,
36,36.91,1285,1,15,1209,
37,31.73,1690,0,11,1561,
38,65.44,2593,1,12,2491,
39,35.88,2544,1,25,2373,
40,66.08,1594,1,10,1453,
41,15.73,768,1,10,718,
42,57.18,1848,1,9,1646,
43,49.41,1683,1,9,1602,
44,32.6,741,0,10,655,
45,48.14,1465,0,4,1356,
46,58.93,2484,1,23,2304,
47,48.07,3465,1,18,3270,
48,40.29,1579,1,13,1534,
49,43.44,1467,1,10,1399,
50,50.02,1806,1,13,1629,
51,71.15,2820,1,19,2719,
52,32.21,896,0,3,707,
53,33.06,987,1,10,920,
54,30.75,1159,1,8,1101,
55,31.75,1319,1,8,1203,
56,32.04,1313,0,6,1207,
57,16.14,815,0,9,770,
58,30.13,1133,1,13,1070,
59,82.31,4369,1,31,4064,
60,66.1,2715,1,20,2593,
61,31.01,986,0,6,899,
62,49.88,1663,0,4,1509,
63,98.95,4068,1,24,3663,
64,63.06,2997,1,19,2836,
65,15.87,579,1,6,559,
66,33.06,1199,1,6,1065,
67,49.02,2256,1,15,2113,
68,48.47,2262,1,7,2165,
69,63.31,3015,1,17,2832,
70,32.57,1519,1,16,1438,
71,39.77,1311,0,9,1220,
72,24.01,763,1,6,708,
73,48.99,2500,1,22,2335,
74,44.02,2061,1,31,1910,
75,46.11,2426,1,16,2313,
76,15.91,887,1,11,845,
77,49.13,2679,1,9,2466,
78,49.29,2154,1,12,1979,
79,42.82,1910,1,16,1741,
80,31.77,1016,1,8,901,
81,37.14,1687,1,20,1537,
82,85.3,3171,1,14,2807,
83,47.66,2495,1,12,2248,
84,93.39,3201,1,31,2970,
85,31.8,1340,0,8,1264,
86,7.8,404,0,0,364,
87,31.72,1038,1,3,934,
88,30.4,1714,1,21,1606,
89,63.98,3664,1,21,3467,
90,35.04,1461,0,12,1353,
91,31.54,1442,1,14,1311,
92,49.58,2203,0,13,2059,
93,48.48,1769,0,8,1639,
94,41.46,1474,1,17,1358,
95,47.46,2132,1,38,1923,
96,15.57,908,1,18,830,
97,23.78,1017,0,6,950,
98,34.77,2097,1,19,1998,
99,32.18,1166,1,12,1105,
100,40.27,2285,1,19,2081,
101,30.38,1584,0,3,1497,
102,64.96,2829,1,15,2710,
103,49.15,1733,1,16,1618,
104,32.06,1453,1,18,1361,
105,48.51,1876,1,10,1741,
106,16.03,845,1,13,809,
107,15.75,605,1,4,582,
108,32.32,1868,1,18,1744,
109,32.01,1526,1,17,1442,
110,32.04,1394,0,9,1258,
111,73.4,3690,1,32,3470,
112,32.23,1178,1,15,1089,
113,24.36,1508,1,19,1416,
114,24.04,640,1,6,607,
115,48.97,3254,1,15,3063,
116,16.8,387,1,2,363,
117,17.97,565,0,5,491,
118,32.26,1398,0,7,1329,
119,65.96,3538,1,30,3340,
120,63.09,2199,1,20,1999,
121,31.36,1279,1,6,1218,
122,48.71,2497,0,16,2334,
123,16.04,741,1,5,716,
124,15.63,554,0,2,532,
125,32.17,1906,1,20,1796,
126,62.89,4321,1,27,4146,
127,50.1,2049,1,9,1919,
128,47.44,1317,0,7,1171,
129,16.19,565,1,12,541,
130,97.16,3462,0,15,3316,
131,31.78,1941,1,5,1849,
132,15.58,809,0,14,758,
133,81.49,2875,1,27,2475,
134,32.74,1373,1,13,1317,
135,19.08,1056,0,9,1001,
136,31.15,988,0,4,778,
137,49.74,1997,0,13,1854,
138,15.64,753,0,6,732,
139,66.7,1747,0,10,1586,
140,37.39,1536,1,16,1394,
141,49.51,2625,0,12,2482,
142,40.45,1651,1,17,1488,
143,32.15,1112,0,4,1039,
144,47.73,1824,1,14,1686,
145,45.64,1290,1,9,1206,
146,31.25,1152,1,7,1015,
147,15.48,1180,0,2,1136,
148,63.3,3318,1,27,3189,
149,59.85,2639,1,38,2446,
150,64.3,2672,1,22,2447,
151,48.02,2485,1,19,2383,
152,65.64,2539,1,17,2301,
153,32.39,1427,1,10,1362,
154,40.43,2538,1,27,2333,
155,48.43,1637,0,12,1518,
156,63.98,2488,1,13,2303,
157,32.35,1227,1,4,1050,
158,36.62,2093,1,20,1991,
159,15.9,987,0,8,958,
