date,season,month
1/1/2021,Winter,January
1/2/2021,Winter,January
1/3/2021,Winter,January
1/4/2021,Winter,January
1/5/2021,Winter,January
1/6/2021,Winter,January
1/7/2021,Winter,January
1/8/2021,Winter,January
1/9/2021,Winter,January
1/10/2021,Winter,January
1/11/2021,Winter,January
1/12/2021,Winter,January
1/13/2021,Winter,January
1/14/2021,Winter,January
1/15/2021,Winter,January
1/16/2021,Winter,January
1/17/2021,Winter,January
1/18/2021,Winter,January
1/19/2021,Winter,January
1/20/2021,Winter,January
1/21/2021,Winter,January
1/22/2021,Winter,January
1/23/2021,Winter,January
1/24/2021,Winter,January
1/25/2021,Winter,January
1/26/2021,Winter,January
1/27/2021,Winter,January
1/28/2021,Winter,January
1/29/2021,Winter,January
1/30/2021,Winter,January
1/31/2021,Winter,January
2/1/2021,Winter,February
2/2/2021,Winter,February
2/3/2021,Winter,February
2/4/2021,Winter,February
2/5/2021,Winter,February
2/6/2021,Winter,February
2/7/2021,Winter,February
2/8/2021,Winter,February
2/9/2021,Winter,February
2/10/2021,Winter,February
2/11/2021,Winter,February
2/12/2021,Winter,February
2/13/2021,Winter,February
2/14/2021,Winter,February
2/15/2021,Winter,February
2/16/2021,Winter,February
2/17/2021,Winter,February
2/18/2021,Winter,February
2/19/2021,Winter,February
2/20/2021,Winter,February
2/21/2021,Winter,February
2/22/2021,Winter,February
2/23/2021,Winter,February
2/24/2021,Winter,February
2/25/2021,Winter,February
2/26/2021,Winter,February
2/27/2021,Winter,February
2/28/2021,Winter,February
3/1/2021,Winter,March
3/2/2021,Winter,March
3/3/2021,Winter,March
3/4/2021,Winter,March
3/5/2021,Winter,March
3/6/2021,Winter,March
3/7/2021,Winter,March
3/8/2021,Winter,March
3/9/2021,Winter,March
3/10/2021,Winter,March
3/11/2021,Winter,March
3/12/2021,Winter,March
3/13/2021,Winter,March
3/14/2021,Winter,March
3/15/2021,Winter,March
3/16/2021,Winter,March
3/17/2021,Winter,March
3/18/2021,Winter,March
3/19/2021,Winter,March
3/20/2021,Winter,March
3/21/2021,Spring,March
3/22/2021,Spring,March
3/23/2021,Spring,March
3/24/2021,Spring,March
3/25/2021,Spring,March
3/26/2021,Spring,March
3/27/2021,Spring,March
3/28/2021,Spring,March
3/29/2021,Spring,March
3/30/2021,Spring,March
3/31/2021,Spring,March
4/1/2021,Spring,April
4/2/2021,Spring,April
4/3/2021,Spring,April
4/4/2021,Spring,April
4/5/2021,Spring,April
4/6/2021,Spring,April
4/7/2021,Spring,April
4/8/2021,Spring,April
