,spend,Impressions,leads,link_clicks,reach,Agency Tiers
0,40.27,1397,1,17,1320,4
1,50.27,2969,1,24,2766,4
2,63.96,3025,1,10,2818,4
3,88.15,4732,1,38,4497,4
4,54.42,1981,1,19,1792,4
5,63.34,2530,1,16,2385,4
6,31.53,1712,0,6,1501,4
7,65.44,2593,1,12,2491,4
8,35.88,2544,1,25,2373,4
9,32.6,741,0,10,655,4
10,58.93,2484,1,23,2304,4
11,33.06,987,1,10,920,4
12,82.31,4369,1,31,4064,4
13,66.1,2715,1,20,2593,4
14,63.31,3015,1,17,2832,4
15,32.57,1519,1,16,1438,4
16,24.01,763,1,6,708,4
17,37.14,1687,1,20,1537,4
18,31.8,1340,0,8,1264,4
19,7.8,404,0,0,364,4
20,30.38,1584,0,3,1497,4
21,64.96,2829,1,15,2710,4
22,15.75,605,1,4,582,4
23,32.32,1868,1,18,1744,4
24,32.04,1394,0,9,1258,4
25,73.4,3690,1,32,3470,4
26,16.8,387,1,2,363,4
27,17.97,565,0,5,491,4
28,65.96,3538,1,30,3340,4
29,48.71,2497,0,16,2334,4
30,62.89,4321,1,27,4146,4
31,16.19,565,1,12,541,4
32,97.16,3462,0,15,3316,4
33,31.78,1941,1,5,1849,4
34,66.7,1747,0,10,1586,4
35,37.39,1536,1,16,1394,4
36,40.45,1651,1,17,1488,4
37,32.15,1112,0,4,1039,4
38,59.85,2639,1,38,2446,4
39,65.64,2539,1,17,2301,4
40,63.98,2488,1,13,2303,4
41,118.03,4355,1,31,3913,4
42,65.03,2934,1,19,2795,4
43,31.74,1544,1,6,1427,4
44,32.19,2254,1,9,2099,4
45,64.01,2631,1,12,2404,4
46,65.49,2948,1,15,2805,4
47,32.36,1479,1,27,1443,4
48,24.6,1313,1,6,1273,4
49,43.26,1243,1,16,1176,4
50,25.1,1182,1,14,1090,4
51,31.16,1286,1,26,1229,4
52,33.21,2297,1,8,2217,4
53,64.46,3089,1,8,2855,4
54,50.67,1949,1,13,1832,4
55,97.76,3842,1,17,3684,4
56,41.25,1369,1,16,1242,4
57,6.99,276,1,2,261,4
58,57.81,2239,1,19,2038,4
59,32.18,1038,1,6,991,4
60,29.61,1577,1,9,1539,4
61,16.09,571,1,6,529,4
62,7.2,198,0,1,185,4
63,66.34,3054,1,22,2890,4
64,7.04,285,1,8,274,4
65,32.83,1533,1,11,1422,4
66,0.0,0,0,0,0,4
67,6.88,273,0,6,254,4
68,49.15,2652,1,18,2558,4
69,52.16,2093,1,17,1993,4
70,71.39,3861,1,31,3642,4
71,67.78,2714,1,9,2549,4
72,23.61,1326,1,3,1244,4
73,6.79,220,0,4,207,4
74,7.07,232,1,2,212,4
75,65.65,3734,1,51,3482,4
76,48.96,2993,1,22,2748,4
77,16.08,622,1,13,603,4
78,32.42,2626,1,22,2486,4
79,86.92,3303,1,46,3190,4
80,16.28,558,0,5,538,4
81,23.38,684,0,6,630,4
82,48.78,2177,1,25,2079,4
83,6.96,449,0,0,370,4
84,54.42,2816,1,25,2477,4
85,32.47,882,1,20,845,4
86,63.96,2389,1,28,2203,4
87,40.96,2119,0,15,1931,4
88,32.26,1372,0,12,1333,4
89,63.96,2867,1,22,2720,4
90,32.74,1022,0,4,934,4
91,16.34,695,1,6,665,4
92,40.06,1873,1,12,1721,4
93,65.34,3073,1,23,2906,4
94,7.12,206,0,3,194,4
95,16.19,568,1,8,551,4
96,30.01,995,1,6,977,4
97,24.68,1072,1,7,997,4
98,49.41,2051,1,16,1900,4
99,37.19,1810,1,16,1674,4
100,23.99,1250,1,12,1148,4
101,16.24,768,1,21,748,4
102,54.25,2322,1,39,2248,4
103,99.25,4594,1,21,4397,4
104,40.9,1296,1,16,1205,4
105,59.17,2150,0,25,1977,4
106,48.71,1967,1,25,1802,4
107,6.85,283,0,3,267,4
108,7.13,326,1,5,315,4
109,41.66,1481,0,21,1397,4
110,48.44,1919,0,8,1824,4
111,48.82,2738,1,21,2577,4
112,66.4,2488,1,31,2310,4
113,32.32,997,0,9,928,4
114,63.65,3855,1,44,3626,4
115,32.02,1186,1,8,1133,4
116,31.74,1001,1,6,927,4
117,65.41,2663,1,19,2438,4
118,35.17,1002,1,20,937,4
119,65.09,2327,1,19,2173,4
120,48.88,2421,1,25,2328,4
121,63.99,3582,1,33,3405,4
122,56.58,1944,0,17,1727,4
123,16.32,851,1,7,801,4
124,15.52,741,1,17,723,4
125,7.18,215,0,1,201,4
126,65.37,2674,0,29,2431,4
127,96.71,3923,1,18,3775,4
128,6.73,227,0,4,223,4
129,7.13,398,1,5,369,4
130,40.63,1360,0,17,1243,4
131,16.31,654,1,8,638,4
132,35.66,1212,1,14,1162,4
133,64.81,3023,1,17,2919,4
134,50.32,1842,1,28,1684,4
135,63.85,2726,1,13,2575,4
136,49.79,2347,0,11,2219,4
137,61.21,2824,1,33,2595,4
138,40.47,1430,0,23,1331,4
139,67.17,3059,1,32,2705,4
140,41.72,1426,1,14,1335,4
141,41.55,1931,1,25,1819,4
142,49.32,2782,1,31,2696,4
143,24.68,1452,1,11,1404,4
144,55.37,2841,0,8,2745,4
145,32.29,2294,1,11,2169,4
146,32.99,1320,1,11,1253,4
147,23.97,861,1,6,814,4
148,32.51,1701,1,11,1596,4
149,7.24,540,0,3,508,4
150,65.09,3424,1,26,3224,4
151,31.68,1919,1,23,1872,4
152,40.63,1842,1,15,1727,4
153,16.08,640,0,4,581,4
154,41.75,1750,1,21,1594,4
155,32.38,1718,1,17,1568,4
156,48.52,2334,1,19,2147,4
157,50.83,2167,1,17,2016,4
158,65.78,3660,1,37,3479,4
159,50.45,2547,1,33,2462,4
160,88.05,4045,1,38,3867,4
161,55.76,2467,0,20,2206,4
